id,news_website_homepage,extracted_keywords,internal_urls,manual_topic_label
1,https://aajtak.intoday.in/,"dailyrashiphal, rashiphal, raashiphal, dailyraashiphal, daily-rashiphal, daily-raashiphal, rashifal, raashifal, dailyraashifal, daily-raashifal, daily-rashifal",https://aajtak.intoday.in/dailyrashiphal,"Art, Culture and Society"
1,https://aajtak.intoday.in/,"jigyasa, jigyaasa",https://aajtak.intoday.in/jigyasa.html,"Art, Culture and Society"
1,https://aajtak.intoday.in/,"rashiphal, rashi, raashi, aries, aapketaren, aap-ke-tarein, aap-ke-taren, aap-ke-taarein, aapketaarein, aapketarein,",https://aajtak.intoday.in/rashiphal/video/aries/aapketaren-daily,"Art, Culture and Society"
1,https://aajtak.intoday.in/,"rashiphal, rashi, raashi, taurush, tauras, taurus, aapketaren, aap-ke-tarein, aap-ke-taren, aap-ke-taarein, aapketaarein, aapketarein,",https://aajtak.intoday.in/rashiphal/video/taurush/aapketaren-daily,"Art, Culture and Society"
1,https://aajtak.intoday.in/,"rashiphal, rashi, raashi, gemini, aapketaren, aap-ke-tarein, aap-ke-taren, aap-ke-taarein, aapketaarein, aapketarein,",https://aajtak.intoday.in/rashiphal/video/gemini/aapketaren-daily,"Art, Culture and Society"
1,https://aajtak.intoday.in/,"rashiphal, rashi, raashi, cancer, aapketaren, aap-ke-tarein, aap-ke-taren, aap-ke-taarein, aapketaarein, aapketarein,",https://aajtak.intoday.in/rashiphal/video/cancer/aapketaren-daily,"Art, Culture and Society"
1,https://aajtak.intoday.in/,"rashiphal, rashi, raashi, leo, aapketaren, aap-ke-tarein, aap-ke-taren, aap-ke-taarein, aapketaarein, aapketarein,",https://aajtak.intoday.in/rashiphal/video/leo/aapketaren-daily,"Art, Culture and Society"
1,https://aajtak.intoday.in/,"rashiphal, rashi, raashi, virgo, aapketaren, aap-ke-tarein, aap-ke-taren, aap-ke-taarein, aapketaarein, aapketarein,",https://aajtak.intoday.in/rashiphal/video/virgo/aapketaren-daily,"Art, Culture and Society"
1,https://aajtak.intoday.in/,"rashiphal, rashi, raashi, libra, aapketaren, aap-ke-tarein, aap-ke-taren, aap-ke-taarein, aapketaarein, aapketarein,",https://aajtak.intoday.in/rashiphal/video/libra/aapketaren-daily,"Art, Culture and Society"
1,https://aajtak.intoday.in/,"rashiphal, rashi, raashi, scorpio, scorpion, aapketaren, aap-ke-tarein, aap-ke-taren, aap-ke-taarein, aapketaarein, aapketarein,",https://aajtak.intoday.in/rashiphal/video/scorpio/aapketaren-daily,"Art, Culture and Society"
1,https://aajtak.intoday.in/,"rashiphal, rashi, raashi, sagitarrius, sagitaras, sagitauras, sagitaurras, sagitarras, aapketaren, aap-ke-tarein, aap-ke-taren, aap-ke-taarein, aapketaarein, aapketarein,",https://aajtak.intoday.in/rashiphal/video/sagittarius/aapketaren-daily,"Art, Culture and Society"
1,https://aajtak.intoday.in/,"rashiphal, rashi, raashi, capricorn, aapketaren, aap-ke-tarein, aap-ke-taren, aap-ke-taarein, aapketaarein, aapketarein,",https://aajtak.intoday.in/rashiphal/video/capricorn/aapketaren-daily,"Art, Culture and Society"
1,https://aajtak.intoday.in/,"rashiphal, rashi, raashi, aquarius, aapketaren, aap-ke-tarein, aap-ke-taren, aap-ke-taarein, aapketaarein, aapketarein,",https://aajtak.intoday.in/rashiphal/video/aquarius/aapketaren-daily,"Art, Culture and Society"
1,https://aajtak.intoday.in/,"rashiphal, rashi, raashi, pisces, aapketaren, aap-ke-tarein, aap-ke-taren, aap-ke-taarein, aapketaarein, aapketarein,",https://aajtak.intoday.in/rashiphal/video/pisces/aapketaren-daily,"Art, Culture and Society"
1,https://aajtak.intoday.in/,"auto, automobile, auto-mobile",https://aajtak.intoday.in/auto.html,Science and Technology
1,https://aajtak.intoday.in/,business,https://aajtak.intoday.in/business.html,"Business, Economics and Finance"
1,https://aajtak.intoday.in/,"money, money-tips",https://aajtak.intoday.in/money-tips-for-women-in-hindi.html,"Business, Economics and Finance"
1,https://aajtak.intoday.in/,"corona, coronavirus, covid, covid-19, covid19, corona-virus",https://aajtak.intoday.in/coronavirus-covid-19-outbreak,Coronavirus
1,https://aajtak.intoday.in/,"coronavirus, corona-virus",https://aajtak.intoday.in/coronavirus-podcast.html,Coronavirus
1,https://aajtak.intoday.in/,"crime, crimes",https://aajtak.intoday.in/crime/,"Art, Culture and Society"
1,https://aajtak.intoday.in/,crime-news,https://aajtak.intoday.in/crime/crime-news-1-781.html,"Art, Culture and Society"
1,https://aajtak.intoday.in/,"murder, murder-mystery",https://aajtak.intoday.in/crime/murder-mystery-1-804.html,"Art, Culture and Society"
1,https://aajtak.intoday.in/,"criminal, criminal-cases",https://aajtak.intoday.in/crime/crimnal-cases-1-780.html,"Art, Culture and Society"
